subji,inv_temp,reward,lr,w2
1783,3.815048893,0.43768168,21.75483249,0.001000245
700,0.933422579,0.967459619,15.21527545,0.039832573
701,8.489847546,-0.249819331,0.796273887,0.069278164
702,8.789407889,0.361185258,92.03686693,0.145325178
703,1.155654983,0.998999999,16.29782157,0.288596074
704,3.513716044,0.658093706,99.9999911,0.135500198
705,3.583653467,-0.840633243,3.616546912,0.001000039
707,4.368778405,-0.522112061,9.935894141,0.001
709,9.877408018,0.207019172,53.07171705,0.163840905
710,2.758305413,-0.30491883,0.010000043,0.001000177
711,5.705358762,-0.216399975,2.463904815,0.001000012
712,3.813572658,-0.668823334,4.355047154,0.117397427
713,7.299724456,0.109298338,53.49830307,0.999
714,6.289526295,-0.478539639,8.958114562,0.014639543
715,3.604158445,-0.614867576,1.62649723,0.002128156
719,2.386805893,-0.817936292,4.003149063,0.001000123
721,0.594405345,0.998270403,23.03984965,0.723244071
722,1.300147918,0.714823417,99.99988739,0.396787792
724,6.714600769,-0.255455045,1.203854499,0.008880406
725,3.51668385,-0.58273537,17.55470859,0.146941902
726,16.98728258,0.087622311,91.30093827,0.334329776
727,2.302998411,0.704675019,0.010000044,0.998999988
728,5.726569216,-0.877879652,3.31777767,0.001
729,3.506257565,-0.421967084,12.93659385,0.001000014
730,4.415313662,-0.61978212,5.397699769,0.001
732,5.199488275,-0.478861679,6.264857122,0.001885559
733,5.93688271,-0.370843597,8.089663849,0.019134496
734,0.84096474,0.929027496,23.83449038,0.998999715
735,2.903137386,-0.853746747,8.424310229,0.001000001
736,49.99999645,0.046136939,17.65234967,0.99899999
737,4.705470166,-0.467148042,10.88417582,0.001
738,5.891114208,0.615971507,99.99994357,0.184753235
739,4.056593604,-0.593301189,2.874940999,0.018827925
740,2.165125635,0.656656973,99.99998678,0.998999991
741,6.330396246,-0.419080871,3.183329911,0.0385003
742,1.511417317,0.91240031,47.59112415,0.012824268
743,3.226775812,-0.605055905,14.98980316,0.00100039
744,4.65066446,0.051180707,36.19954067,0.998999766
745,4.324711319,-0.734168158,12.24988426,0.001000039
746,3.713796443,-0.391355904,1.336961696,0.001000002
748,2.461340733,-0.470362724,6.37805629,0.027139679
749,4.103802112,-0.502893188,6.115781527,0.001000022
750,2.933114358,-0.645202321,6.199605671,0.008166338
751,16.22181585,0.05261867,99.99985694,0.998999997
752,2.869004305,0.976902334,0.010000027,0.001
753,11.24079033,0.218022855,99.99998545,0.088078227
754,7.560122253,-0.327373118,24.92927189,0.001000032
756,3.146059291,0.905059021,99.99990814,0.301044971
757,6.122186265,-0.170911419,7.120765646,0.006632554
760,10.03602908,-0.198435704,24.90867988,0.011394007
761,1.936378683,0.77083588,97.01528402,0.615894725
762,3.353276437,-0.575463852,5.213216231,0.064875927
763,5.026844424,0.351715909,9.286311345,0.997867189
764,4.632497624,-0.679912817,7.360049963,0.001003432
766,5.513956941,-0.277766811,5.977417328,0.001000044
768,13.13502186,0.110718701,99.99992245,0.611335211
769,10.94849202,-0.113708895,99.99997209,0.382085566
770,4.767921524,-0.410995559,8.326148865,0.001000001
771,1.76748725,0.93852114,46.82623662,0.001
772,2.291730335,-0.530548817,13.43990839,0.001000034
773,4.002574152,-0.483500172,3.681221962,0.001000038
774,1.064073179,-0.104505318,0.010000003,0.998963809
775,4.069819123,-0.588163478,11.95596895,0.001000013
776,4.579404678,-0.467406713,18.72193557,0.280960847
777,6.518926627,-0.256269823,11.02207135,0.077380043
779,7.260501142,-0.16390384,1.354921188,0.306614776
780,4.354520455,-0.847048764,5.902847875,0.00100114
781,3.817816356,-0.34686492,26.76819306,0.001000016
783,6.912223621,-0.261532297,9.135031699,0.001000001
784,2.964966571,-0.703953404,18.52627374,0.001000033
785,2.915083858,-0.474286204,3.701836574,0.001000225
786,1.570691023,0.753515163,83.59152392,0.763926907
788,3.34840117,0.168675386,25.6592298,0.996024038
790,4.133115599,-0.588548431,4.346299624,0.073105309
791,33.41047776,0.099287226,99.99999886,0.168840386
792,1.428120269,0.794670204,55.18188102,0.390592555
794,4.933784569,-0.08470933,43.62419755,0.998999946
795,6.459896092,-0.43842852,7.667466069,0.001000011
796,1.419588421,0.16750864,5.967627834,0.004270523
797,5.740947648,-0.265150871,3.749513395,0.001000016
798,4.825472697,-0.683922472,5.150866919,0.00155247
799,3.124212086,0.161674494,0.042800934,0.00100002
801,6.861134949,-0.33252059,13.51882142,0.001
802,2.503552521,-0.247244907,1.614094044,0.001
803,1.61721968,-0.296580045,0.124742256,0.441220668
804,3.422795677,-0.891180809,4.044355079,0.001000035
805,4.634674794,-0.458929766,4.330222193,0.166247109
806,2.003497133,-0.251111506,11.94688379,0.037771163
807,2.222138079,0.999,26.79937838,0.001691275
808,2.571708288,-0.454334892,13.20212179,0.010653182